trial,participant,setSize,pSwap,pTarget,pBestFoil,bestXi,bestFoilXi,visualFoil,visualMatch,resp,target,bestFoil,bestFoilIdx,dTarget,dBestFoil,dInferredFoil,foilMargin,score
652,7,6,0.781454545454545,0.218545454545455,0.389567929178613,6,6,5,1,2.3422926535,0.8886926535,2.4822926535,1,1.4536,0.14,0.14,1.3136,2.69334964088961
5781,58,6,0.875181818181818,0.124818181818182,0.582183546115532,6,6,5,1,0.1497926535,1.7754926535,3.0608926535,4,1.5158,0.2304,0.2304,1.2854,2.66882571389766
75,1,6,0.753409090909091,0.246590909090909,0.550106232294618,6,6,5,1,0.2061926535,1.6029926535,0.4036,4,1.3968,0.1974073465,0.1974073465,1.1993926535,2.66683016083651
5273,53,6,0.739545454545455,0.260454545454545,0.425323573609967,6,6,5,1,0.4746,1.8160926535,0.3317,4,1.3414926535,0.1429,0.1429,1.1985926535,2.64276677392054
9372,94,6,0.806454545454545,0.193545454545455,0.436214987180107,6,6,5,1,1.4566,2.9617926535,1.6283926535,1,1.5051926535,0.1717926535,0.1717926535,1.3334,2.62249021654793
7952,80,6,0.782863636363636,0.217136363636364,0.351991036833014,6,6,5,1,1.3220926535,2.8475,1.1815,5,1.5254073465,0.1405926535,0.1405926535,1.384814693,2.55750864820538
3572,36,6,0.638318181818182,0.361681818181818,0.360410056138638,1,6,5,1,2.3086926535,1.0635926535,2.4221926535,3,1.2451,0.1135,0.1135,1.1316,2.49443437019256
6870,69,6,0.858636363636364,0.141363636363636,0.417103762827822,6,6,5,1,0.2913,1.8474926535,0.4726,2,1.5561926535,0.1813,0.1813,1.3748926535,2.47934673263804
9617,97,3,0.739681818181818,0.260318181818182,0.530650712997869,2,2,1,1,0.3824,1.8293926535,0.5965,2,1.4469926535,0.2141,0.2141,1.2328926535,2.47722592059678
7164,72,6,0.639772727272727,0.360227272727273,0.351034678257583,1,6,5,1,2.1105,0.8555,2.2253926535,1,1.255,0.1148926535,0.1148926535,1.1401073465,2.4271379413379
6760,68,6,0.829863636363636,0.170136363636364,0.447405741112035,6,6,5,1,2.7645926535,1.4228926535,2.9333926535,3,1.3417,0.1688,0.1688,1.1729,2.3983646880727
8555,86,6,0.815,0.185,0.38389675430993,6,6,5,1,1.7176,0.1647926535,1.5458,5,1.5528073465,0.1718,0.1718,1.3810073465,2.39028060414571
9793,99,3,0.493318181818182,0.506681818181818,0.385844748858447,1,3,2,1,0.8824,2.3734926535,1.057,2,1.4910926535,0.1746,0.1746,1.3164926535,2.2616285719666
1737,18,3,0.763454545454545,0.236545454545455,0.624412483549539,3,3,2,1,1.3834,2.9185926535,1.6763926535,1,1.5351926535,0.2929926535,0.2929926535,1.2422,2.26140466610676
7309,74,3,0.637227272727273,0.362772727272727,0.397684993799091,3,3,2,1,0.3259,1.6585,0.4842,1,1.3326,0.1583,0.1583,1.1743,2.24196585798498
6556,66,6,0.717227272727273,0.282772727272727,0.426316073064281,6,6,5,1,2.4440926535,1.0377,2.6272926535,3,1.4063926535,0.1832,0.1832,1.2231926535,2.23613502847855
871,9,6,0.688045454545455,0.311954545454545,0.394638224272125,6,6,5,1,0.4049,1.7496926535,0.2432,3,1.3447926535,0.1617,0.1617,1.1830926535,2.20544914466999
3678,37,6,0.844818181818182,0.155181818181818,0.373183399247153,6,6,5,1,1.7346926535,0.1871926535,1.9182926535,1,1.5475,0.1836,0.1836,1.3639,2.17887345134072
2128,22,3,0.592590909090909,0.407409090909091,0.481219978007987,1,3,2,1,0.4674926535,1.9757926535,0.7052,2,1.5083,0.2377073465,0.2377073465,1.2705926535,2.12519623225672
6125,62,3,0.743681818181818,0.256318181818182,0.6205703599813,3,3,2,1,2.7610926535,1.3625926535,3.0490926535,2,1.3985,0.288,0.288,1.1105,2.03888575372554
2945,30,6,0.677,0.323,0.350319958895791,6,6,5,1,1.4736926535,0.1903926535,1.3261,5,1.2833,0.1475926535,0.1475926535,1.1357073465,2.01354121166012
1601,17,3,0.372181818181818,0.627818181818182,0.348285805831464,1,3,2,1,2.7335926535,1.759,2.6324926535,1,0.9745926535,0.1011,0.1011,0.8734926535,2.0134023342959
3038,31,3,0.553045454545455,0.446954545454545,0.536871923469862,3,3,2,1,0.1582926535,2.2621,3.1204926535,2,1.0376926535,0.1793,0.1793,0.8583926535,2.00979901865217
9587,97,3,0.601318181818182,0.398681818181818,0.514398748734934,3,3,2,1,1.5841926535,0.1871,1.3385,2,1.3970926535,0.2456926535,0.2456926535,1.1514,2.0030214220165
